"Package","Version","Built"
"terra","1.6-17","4.2.1"
"testthat","3.1.4","4.2.1"
"textshaping","0.3.6","4.2.1"
"tibble","3.1.8","4.2.1"
"tidyr","1.2.1","4.2.1"
"tidyselect","1.1.2","4.2.1"
"tidyverse","1.3.2","4.2.1"
"tinytex","0.41","4.2.1"
"tmap","3.3-3","4.2.1"
"tmaptools","3.1-1","4.2.1"
"tzdb","0.3.0","4.2.1"
"units","0.8-0","4.2.1"
"urlchecker","1.0.1","4.2.1"
"usethis","2.1.6","4.2.1"
"utf8","1.2.2","4.2.1"
"uuid","1.1-0","4.2.0"
"vctrs","0.4.1","4.2.1"
"viridis","0.6.2","4.2.1"
"viridisLite","0.4.1","4.2.1"
"vroom","1.5.7","4.2.1"
"waldo","0.4.0","4.2.1"
"whisker","0.4","4.2.1"
"widgetframe","0.3.1","4.2.1"
"withr","2.5.0","4.2.1"
"wk","0.6.0","4.2.1"
"xfun","0.33","4.2.1"
"XML","3.99-0.10","4.2.1"
"xml2","1.3.3","4.2.1"
"xopen","1.0.0","4.2.1"
"xtable","1.8-4","4.2.1"
"yaml","2.3.5","4.2.1"
"zip","2.2.1","4.2.1"
"base","4.2.1","4.2.1"
"boot","1.3-28","4.2.1"
"class","7.3-20","4.2.1"
"cluster","2.1.3","4.2.1"
"codetools","0.2-18","4.2.1"
"compiler","4.2.1","4.2.1"
"datasets","4.2.1","4.2.1"
"foreign","0.8-82","4.2.1"
"graphics","4.2.1","4.2.1"
"grDevices","4.2.1","4.2.1"
"grid","4.2.1","4.2.1"
"KernSmooth","2.23-20","4.2.1"
"lattice","0.20-45","4.2.1"
"MASS","7.3-57","4.2.1"
"Matrix","1.4-1","4.2.1"
"methods","4.2.1","4.2.1"
"mgcv","1.8-40","4.2.1"
"nlme","3.1-157","4.2.1"
"nnet","7.3-17","4.2.1"
"parallel","4.2.1","4.2.1"
"rpart","4.1.16","4.2.1"
"spatial","7.3-15","4.2.1"
"splines","4.2.1","4.2.1"
"stats","4.2.1","4.2.1"
"stats4","4.2.1","4.2.1"
"survival","3.3-1","4.2.1"
"tcltk","4.2.1","4.2.1"
"tools","4.2.1","4.2.1"
"translations","4.2.1","4.2.1"
"utils","4.2.1","4.2.1"
